I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x1deb640
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45482.9922 | Layer 1 | Epoch 1  |
|           100 |    44595.3555 | Layer 1 | Epoch 1  |
|           200 |    43174.5312 | Layer 1 | Epoch 1  |
|           300 |    41838.5273 | Layer 1 | Epoch 1  |
|           400 |    40688.7344 | Layer 1 | Epoch 1  |
|           500 |    39794.4219 | Layer 1 | Epoch 1  |
|           600 |    38835.1016 | Layer 1 | Epoch 1  |
|           700 |    38181.8516 | Layer 1 | Epoch 1  |
|           800 |    37532.5078 | Layer 1 | Epoch 1  |
|           900 |    37027.0156 | Layer 1 | Epoch 1  |
|          1000 |    36531.7734 | Layer 1 | Epoch 1  |
|          1100 |    36080.8906 | Layer 1 | Epoch 1  |
|          1200 |    35571.0859 | Layer 1 | Epoch 1  |
|          1300 |    35431.2070 | Layer 1 | Epoch 1  |
|          1400 |    34687.3555 | Layer 1 | Epoch 1  |
|          1500 |    34573.4688 | Layer 1 | Epoch 1  |
|          1600 |    34203.2695 | Layer 1 | Epoch 1  |
|          1700 |    33808.2969 | Layer 1 | Epoch 1  |
|          1800 |    33650.3633 | Layer 1 | Epoch 1  |
|          1900 |    33314.1719 | Layer 1 | Epoch 1  |
|          2000 |    33443.9688 | Layer 1 | Epoch 1  |
|          2100 |    33185.4727 | Layer 1 | Epoch 1  |
|          2200 |    33051.0586 | Layer 1 | Epoch 1  |
|          2300 |    32831.3789 | Layer 1 | Epoch 1  |
|          2400 |    32468.0234 | Layer 1 | Epoch 1  |
|          2500 |    32395.1309 | Layer 1 | Epoch 1  |
|          2600 |    32282.2305 | Layer 1 | Epoch 1  |
|          2700 |    32200.6152 | Layer 1 | Epoch 1  |
|          2800 |    31849.8730 | Layer 1 | Epoch 1  |
|          2900 |    32050.9043 | Layer 1 | Epoch 1  |
|          3000 |    31782.1582 | Layer 1 | Epoch 1  |
|          3100 |    31825.5449 | Layer 1 | Epoch 2  |
|          3200 |    31325.4121 | Layer 1 | Epoch 2  |
|          3300 |    31478.8945 | Layer 1 | Epoch 2  |
|          3400 |    31227.9141 | Layer 1 | Epoch 2  |
|          3500 |    31074.4531 | Layer 1 | Epoch 2  |
|          3600 |    31084.2500 | Layer 1 | Epoch 2  |
|          3700 |    31182.9570 | Layer 1 | Epoch 2  |
|          3800 |    30700.1328 | Layer 1 | Epoch 2  |
|          3900 |    30756.9629 | Layer 1 | Epoch 2  |
|          4000 |    30841.3574 | Layer 1 | Epoch 2  |
|          4100 |    30712.8242 | Layer 1 | Epoch 2  |
|          4200 |    30619.0703 | Layer 1 | Epoch 2  |
|          4300 |    30496.5273 | Layer 1 | Epoch 2  |
|          4400 |    30499.1582 | Layer 1 | Epoch 2  |
|          4500 |    30584.8164 | Layer 1 | Epoch 2  |
|          4600 |    30402.7383 | Layer 1 | Epoch 2  |
|          4700 |    30018.7949 | Layer 1 | Epoch 2  |
|          4800 |    30172.1914 | Layer 1 | Epoch 2  |
|          4900 |    30143.9707 | Layer 1 | Epoch 2  |
|          5000 |    29932.7441 | Layer 1 | Epoch 2  |
|          5100 |    30132.7129 | Layer 1 | Epoch 2  |
|          5200 |    29404.5664 | Layer 1 | Epoch 2  |
|          5300 |    29647.1484 | Layer 1 | Epoch 2  |
|          5400 |    29470.3105 | Layer 1 | Epoch 2  |
|          5500 |    29172.0293 | Layer 1 | Epoch 2  |
|          5600 |    29547.8945 | Layer 1 | Epoch 2  |
|          5700 |    29309.4746 | Layer 1 | Epoch 2  |
|          5800 |    29316.3926 | Layer 1 | Epoch 2  |
|          5900 |    29183.4297 | Layer 1 | Epoch 2  |
|          6000 |    29247.3496 | Layer 1 | Epoch 2  |
|          6100 |    29146.6133 | Layer 1 | Epoch 2  |
|          6200 |    28973.3652 | Layer 1 | Epoch 3  |
|          6300 |    28913.1992 | Layer 1 | Epoch 3  |
|          6400 |    28652.1328 | Layer 1 | Epoch 3  |
|          6500 |    28930.9141 | Layer 1 | Epoch 3  |
|          6600 |    28750.5312 | Layer 1 | Epoch 3  |
|          6700 |    28762.8965 | Layer 1 | Epoch 3  |
|          6800 |    28564.3047 | Layer 1 | Epoch 3  |
|          6900 |    28382.6621 | Layer 1 | Epoch 3  |
|          7000 |    28517.9180 | Layer 1 | Epoch 3  |
|          7100 |    28365.3770 | Layer 1 | Epoch 3  |
|          7200 |    28650.7930 | Layer 1 | Epoch 3  |
|          7300 |    28306.5625 | Layer 1 | Epoch 3  |
|          7400 |    28210.0781 | Layer 1 | Epoch 3  |
|          7500 |    28027.0156 | Layer 1 | Epoch 3  |
|          7600 |    28060.9434 | Layer 1 | Epoch 3  |
|          7700 |    28183.1836 | Layer 1 | Epoch 3  |
|          7800 |    27946.6074 | Layer 1 | Epoch 3  |
|          7900 |    27963.3066 | Layer 1 | Epoch 3  |
|          8000 |    28282.1641 | Layer 1 | Epoch 3  |
|          8100 |    27820.1328 | Layer 1 | Epoch 3  |
|          8200 |    27788.4453 | Layer 1 | Epoch 3  |
|          8300 |    27879.1602 | Layer 1 | Epoch 3  |
|          8400 |    27473.2793 | Layer 1 | Epoch 3  |
|          8500 |    27851.4551 | Layer 1 | Epoch 3  |
|          8600 |    27269.7461 | Layer 1 | Epoch 3  |
|          8700 |    27472.2227 | Layer 1 | Epoch 3  |
|          8800 |    27298.8262 | Layer 1 | Epoch 3  |
|          8900 |    27221.1211 | Layer 1 | Epoch 3  |
|          9000 |    27317.6152 | Layer 1 | Epoch 3  |
|          9100 |    27610.4980 | Layer 1 | Epoch 3  |
|          9200 |    27244.0625 | Layer 1 | Epoch 3  |
|          9300 |    27317.5859 | Layer 1 | Epoch 4  |
|          9400 |    27364.0723 | Layer 1 | Epoch 4  |
|          9500 |    27368.2891 | Layer 1 | Epoch 4  |
|          9600 |    27126.2793 | Layer 1 | Epoch 4  |
|          9700 |    26954.4727 | Layer 1 | Epoch 4  |
|          9800 |    27030.1035 | Layer 1 | Epoch 4  |
|          9900 |    27096.5879 | Layer 1 | Epoch 4  |
|         10000 |    26867.2363 | Layer 1 | Epoch 4  |
|         10100 |    26851.1230 | Layer 1 | Epoch 4  |
|         10200 |    26910.5918 | Layer 1 | Epoch 4  |
|         10300 |    26721.8711 | Layer 1 | Epoch 4  |
|         10400 |    26954.1641 | Layer 1 | Epoch 4  |
|         10500 |    26773.0254 | Layer 1 | Epoch 4  |
|         10600 |    27148.2500 | Layer 1 | Epoch 4  |
|         10700 |    26711.6641 | Layer 1 | Epoch 4  |
|         10800 |    26494.3438 | Layer 1 | Epoch 4  |
|         10900 |    26743.3281 | Layer 1 | Epoch 4  |
|         11000 |    26485.1035 | Layer 1 | Epoch 4  |
|         11100 |    26230.2598 | Layer 1 | Epoch 4  |
|         11200 |    26785.3398 | Layer 1 | Epoch 4  |
