I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 444.25MiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x2dbceb0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 444.25MiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
[]
[]
Loading images  ../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31000
Number of rows: 256
Number of cols: 256
Dataset array size:  (31000, 256, 256, 1)
(15500, 256, 256, 1)
(7750, 256, 256, 1)
(7750, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45544.2734 | Layer 1 | Epoch 1  |
|           100 |    43661.2891 | Layer 1 | Epoch 1  |
|           200 |    40840.3906 | Layer 1 | Epoch 1  |
|           300 |    38820.3164 | Layer 1 | Epoch 1  |
|           400 |    37388.2773 | Layer 1 | Epoch 1  |
|           500 |    36223.9766 | Layer 1 | Epoch 1  |
|           600 |    35663.8164 | Layer 1 | Epoch 1  |
|           700 |    34897.0195 | Layer 1 | Epoch 1  |
|           800 |    34620.8398 | Layer 1 | Epoch 1  |
|           900 |    33895.1367 | Layer 1 | Epoch 1  |
|          1000 |    33724.8359 | Layer 1 | Epoch 1  |
|          1100 |    33737.9062 | Layer 1 | Epoch 1  |
|          1200 |    33167.0859 | Layer 1 | Epoch 1  |
|          1300 |    33031.4570 | Layer 1 | Epoch 1  |
|          1400 |    32718.4004 | Layer 1 | Epoch 1  |
|          1500 |    32689.0664 | Layer 1 | Epoch 1  |
|          1600 |    32636.8691 | Layer 1 | Epoch 1  |
|          1700 |    32292.6387 | Layer 1 | Epoch 1  |
|          1800 |    32177.4414 | Layer 1 | Epoch 1  |
|          1900 |    31871.1562 | Layer 1 | Epoch 1  |
|          2000 |    31639.4473 | Layer 1 | Epoch 1  |
|          2100 |    31477.3457 | Layer 1 | Epoch 1  |
|          2200 |    31260.0820 | Layer 1 | Epoch 1  |
|          2300 |    31252.8184 | Layer 1 | Epoch 1  |
|          2400 |    31283.4375 | Layer 1 | Epoch 1  |
|          2500 |    31112.6758 | Layer 1 | Epoch 1  |
|          2600 |    30929.5820 | Layer 1 | Epoch 1  |
|          2700 |    30794.0996 | Layer 1 | Epoch 1  |
|          2800 |    30496.0508 | Layer 1 | Epoch 1  |
|          2900 |    30611.9160 | Layer 1 | Epoch 1  |
|          3000 |    30476.2500 | Layer 1 | Epoch 1  |
|          3100 |    30433.4434 | Layer 1 | Epoch 1  |
|          3200 |    30337.3691 | Layer 1 | Epoch 1  |
|          3300 |    30329.1953 | Layer 1 | Epoch 1  |
|          3400 |    30100.2754 | Layer 1 | Epoch 1  |
|          3500 |    29925.5098 | Layer 1 | Epoch 1  |
|          3600 |    29954.7012 | Layer 1 | Epoch 1  |
